SPECIES_NO:1	Prot_acc_1	SPECIES_NO:2	Prot_acc_2	D_n	D_s	Z-SCORE	Ka_Ks
Drosophila melanogaster	NP_572581	Drosophila ananassae	EDV33756	0.00845873627828039	0.547447515687734	-16.6227788006191	0.0154512278088504
Drosophila melanogaster	NP_572581	Drosophila erecta	EDV46225	0.0027033144834052	0.204895548477575	-12.4960948771364	0.0131936223285059
Drosophila melanogaster	NP_572581	Drosophila grimshawi	EDW00539	0.0314002011323965	1.02330495596199	-15.9185076405752	0.0306850865418488
Drosophila melanogaster	NP_572581	Drosophila mojavensis	EDW07862	0.0345394776496747	0.953630744836136	-16.0550196678785	0.0362189220898175
Drosophila melanogaster	NP_572581	Drosophila sechellia	EDW45652	0.0246290787352539	0.130209921676628	-7.30574966461231	0.189149017356907
Drosophila melanogaster	NP_572581	Drosophila virilis	EDW65771	0.0446851543636109	2.08791620812027	-8.63031279917977	0.0214017948564327
Drosophila melanogaster	NP_572581	Drosophila willistoni	EDW82010	0.021847033352876	1.9976417230242	-9.39004444897094	0.0109364122210073
Drosophila melanogaster	NP_572581	Drosophila simulans	XP_002106578	0	0.105235124736593	-9.37307600239244	-0
Drosophila melanogaster	NP_572581	Drosophila pseudoobscura	EDY73168	0.0067720550395457	0.779351476522264	-17.0993775666535	0.00868934651893515
Drosophila ananassae	EDV33756	Drosophila erecta	EDV46225	0.00563382930829657	0.451348051478788	-16.0935264602656	0.0124822280495906
Drosophila ananassae	EDV33756	Drosophila grimshawi	EDW00539	0.0363475651278345	1.09374282193603	-15.5226679654297	0.0332322776422852
Drosophila ananassae	EDV33756	Drosophila mojavensis	EDW07862	0.0352239693256213	0.832407365901678	-16.2804766223841	0.0423157828348456
Drosophila ananassae	EDV33756	Drosophila sechellia	EDW45652	0.0336836517852991	0.524247788246928	-14.2703380428977	0.0642513951235472
Drosophila ananassae	EDV33756	Drosophila virilis	EDW65771	0.0472883871053247	1.80883828871927	-10.5863129248821	0.0261429600424959
Drosophila ananassae	EDV33756	Drosophila willistoni	EDW82010	0.0285239367599342	2.43124080881814	-6.55740103134606	0.0117322548455412
Drosophila ananassae	EDV33756	Drosophila simulans	XP_002106578	0.00601884107962629	0.53112437729728	-16.1945481829205	0.0113322629065799
Drosophila ananassae	EDV33756	Drosophila pseudoobscura	EDY73168	0.0105909032193586	0.641722129625041	-16.8977952194208	0.0165038771929946
Drosophila erecta	EDV46225	Drosophila grimshawi	EDW00539	0.030726497965605	1.13093813490572	-15.4272841536444	0.0271690351728802
Drosophila erecta	EDV46225	Drosophila mojavensis	EDW07862	0.0310181529319395	1.00180656146779	-15.9606039475808	0.0309622177823365
Drosophila erecta	EDV46225	Drosophila sechellia	EDW45652	0.0286551707066508	0.176129693308051	-8.6725361119831	0.162693582032945
Drosophila erecta	EDV46225	Drosophila virilis	EDW65771	0.0425695644756604	2.5446218489937	-5.87920794512923	0.0167292301182178
Drosophila erecta	EDV46225	Drosophila simulans	XP_002106578	0.00288288643247286	0.160801619796796	-10.9635063548287	0.0179282176144491
Drosophila erecta	EDV46225	Drosophila pseudoobscura	EDY73168	0.00814119255707654	0.646667632952908	-16.9898476513333	0.012589454214526
Drosophila grimshawi	EDW00539	Drosophila mojavensis	EDW07862	0.0123234173727657	0.77137704186081	-16.9057887345299	0.0159758674474387
Drosophila grimshawi	EDW00539	Drosophila sechellia	EDW45652	0.0503315585198376	0.843960401812701	-14.71538057041	0.0596373460315589
Drosophila grimshawi	EDW00539	Drosophila virilis	EDW65771	0.0199005270675597	0.801072558556617	-16.6874250282592	0.0248423527369565
Drosophila grimshawi	EDW00539	Drosophila willistoni	EDW82010	0.0239064063978367	1.55302402409231	-12.6971268261056	0.015393455623978
Drosophila grimshawi	EDW00539	Drosophila simulans	XP_002106578	0.0312761632808064	0.994467440994552	-15.6097688153433	0.0314501631642436
Drosophila grimshawi	EDW00539	Drosophila pseudoobscura	EDY73168	0.0246484985396396	1.29123742728077	-14.5564186047119	0.0190890521130162
Drosophila mojavensis	EDW07862	Drosophila sechellia	EDW45652	0.0509255104071407	0.812037000135459	-14.6558869139258	0.0627132881859394
Drosophila mojavensis	EDW07862	Drosophila virilis	EDW65771	0.0125335237326827	0.933717941389802	-16.56887066289	0.0134232439766843
Drosophila mojavensis	EDW07862	Drosophila willistoni	EDW82010	0.0304645549322788	2.60166827437394	-5.61120696375566	0.0117096231031259
Drosophila mojavensis	EDW07862	Drosophila simulans	XP_002106578	0.0323493622957282	1.02799282626329	-15.4138835676845	0.0314684708582226
Drosophila mojavensis	EDW07862	Drosophila pseudoobscura	EDY73168	0.0284033018660517	1.36445582438499	-13.9750667315295	0.0208165785644648
Drosophila sechellia	EDW45652	Drosophila virilis	EDW65771	0.0570058458625803	1.60092797825024	-11.0834990443387	0.0356080015072793
Drosophila sechellia	EDW45652	Drosophila willistoni	EDW82010	0.0470564734594761	1.86285596235423	-9.43001978220064	0.0252603928647319
Drosophila sechellia	EDW45652	Drosophila simulans	XP_002106578	0.0249918999805853	0.0366345237388338	-1.33278993000363	0.682195301862028
Drosophila sechellia	EDW45652	Drosophila pseudoobscura	EDY73168	0.0303497435540135	0.624627219281525	-14.9210365570398	0.0485885702978541
Drosophila virilis	EDW65771	Drosophila willistoni	EDW82010	0.0360388071266436	3.04295340128986	-3.68861706788135	0.0118433647756049
Drosophila virilis	EDW65771	Drosophila simulans	XP_002106578	0.0431506123562451	2.28231694455428	-7.18275626967517	0.0189064943233255
Drosophila virilis	EDW65771	Drosophila pseudoobscura	EDY73168	0.0382469887762361	2.59144845219929	-5.64617230487053	0.0147589232360678
Drosophila willistoni	EDW82010	Drosophila simulans	XP_002106578	0.0203599511639536	3.11381660207652	-3.37692967186199	0.0065385839199316
Drosophila willistoni	EDW82010	Drosophila pseudoobscura	EDY73168	0.023239129908452	1.93322253651772	-9.84807629435819	0.0120209285115785
Drosophila simulans	XP_002106578	Drosophila pseudoobscura	EDY73168	0.0072228799485458	0.661147831867541	-16.5986574758326	0.0109247578232895
