SPECIES_NO:1	Prot_acc_1	SPECIES_NO:2	Prot_acc_2	D_n	D_s	Z-SCORE	Ka_Ks
Drosophila ananassae	EDV35968	Drosophila erecta 	 EDV55371	0.295409437147358	1.3353280027187	-11.2483720375739	0.221226123129232
Drosophila ananassae	EDV35968	Drosophila grimshawi 	 EDW02461	0.430630013123845	1.34194359594022	-9.1117569051851	0.320900233382856
Drosophila ananassae	EDV35968	Drosophila mojavensis 	 EDW08192	0.365138169907901	1.24105325374782	-10.1066523173145	0.294216359213621
Drosophila ananassae	EDV35968	Drosophila persimilis 	 EDW35731	0.448426211135982	1.49487764463378	-9.31398140014595	0.299975193786405
Drosophila ananassae	EDV35968	Drosophila sechellia 	 EDW56536	0.304559712076605	1.2257580577769	-11.1899415404489	0.248466416471265
Drosophila ananassae	EDV35968	Drosophila virilis 	 EDW58828	0.393036904701882	1.18007889343033	-9.90423519521533	0.333059854633428
Drosophila ananassae	EDV35968	Drosophila willistoni 	 EDW85944	0.383490413080771	1.35480076441575	-9.59408679103973	0.283060375483439
Drosophila ananassae	EDV35968	Drosophila yakuba 	 XP_002091623	0.318787289426895	0.909511804065791	-10.4512113071957	0.350503740580189
Drosophila ananassae	EDV35968	Drosophila simulans 	 XP_002082393	0.310834394986487	1.3326481022112	-10.937414143117	0.233245666632274
Drosophila ananassae	EDV35968	Drosophila pseudoobscura 	 XP_001360972	0.451019692793026	1.48858223635406	-9.30094672718988	0.30298607747577
Drosophila ananassae	EDV35968	Drosophila melanogaster 	 NP_611525	0.287637435552222	1.34509837460935	-11.1805857191623	0.213841188854131
Drosophila erecta	EDV55371	Drosophila grimshawi 	 EDW02461	0.419305857926553	1.40900378522082	-9.16919683838376	0.297590299135243
Drosophila erecta	EDV55371	Drosophila mojavensis 	 EDW08192	0.405286396727006	1.52082714835163	-9.3092810778801	0.266490769293724
Drosophila erecta	EDV55371	Drosophila persimilis 	 EDW35731	0.362881321649144	1.24697223088795	-10.2473887426456	0.291009946060098
Drosophila erecta	EDV55371	Drosophila sechellia 	 EDW56536	0.0736916858845686	0.369996175199683	-11.7263697836035	0.199168777473978
Drosophila erecta	EDV55371	Drosophila virilis 	 EDW58828	0.374711058012581	1.22187806887081	-10.1665940009624	0.30666812635312
Drosophila erecta	EDV55371	Drosophila willistoni 	 EDW85944	0.367212973513312	1.68423415008953	-8.79250749589945	0.218029644805499
Drosophila erecta	EDV55371	Drosophila yakuba 	 XP_002091623	0.0497694993277205	0.176041914610586	-7.85061059030819	0.282713917522501
Drosophila erecta	EDV55371	Drosophila simulans 	 XP_002082393	0.0752025225545383	0.329453358178963	-10.7845325827973	0.228264550011621
Drosophila erecta	EDV55371	Drosophila pseudoobscura 	 XP_001360972	0.365747477183581	1.26056020510416	-10.2059596942575	0.290146774190258
Drosophila erecta	EDV55371	Drosophila melanogaster 	 NP_611525	0.0616334622524952	0.449817766117452	-13.6045214382887	0.137018737130988
