Statistics for CAH1 orthologs
SPECIES_NO:1	Prot_acc_1	SPECIES_NO:2	Prot_acc_2	D_n	D_s	Z-SCORE	Ka_Ks
Drosophila melanogaster	NP_523561	Drosophila ananassae	EDV32010	0.022144856383397	0.719251387475403	-15.1501961686197	0.0307887572676449
Drosophila melanogaster	NP_523561	Drosophila erecta	EDV58640	0.0131043464759748	0.212977030220713	-10.7542008613397	0.0615293886969616
Drosophila melanogaster	NP_523561	Drosophila grimshawi	EDW03208	0.0398930756106108	0.822011163457817	-14.7421121350649	0.0485310630609922
Drosophila melanogaster	NP_523561	Drosophila mojavensis	EDW13487	0.0238768792262735	0.978792504168513	-14.7497852518228	0.0243942195353824
Drosophila melanogaster	NP_523561	Drosophila virilis	EDW57535	0.0238474249098017	0.986698489116866	-14.7235799008255	0.0241689079012841
Drosophila melanogaster	NP_523561	Drosophila willistoni	EDW78040	0.0279216588580019	1.49795459187449	-11.8758739939802	0.0186398566481655
Drosophila melanogaster	NP_523561	Drosophila yakuba	XP_002088638	0.0114506040980913	0.241098850271569	-11.5020143457588	0.0474933998448917
Drosophila melanogaster	NP_523561	Drosophila simulans	XP_002079380	0.00488866478292698	0.11668581794923	-8.61273952637741	0.0418959636127677
Drosophila melanogaster	NP_523561	Drosophila pseudoobscura	EAL33308	0.0255624578168119	0.720784766209463	-15.0618183449137	0.0354647587118724
Drosophila ananassae	EDV32010	Drosophila erecta	EDV58640	0.0246462483630008	0.660269041986068	-14.9828473823637	0.0373275843569246
Drosophila ananassae	EDV32010	Drosophila grimshawi	EDW03208	0.0525579817180291	1.41398355511588	-12.1905655068236	0.0371701506201192
Drosophila ananassae	EDV32010	Drosophila mojavensis	EDW13487	0.037207960184705	1.91326798509744	-9.01218902496669	0.0194473332928372
Drosophila ananassae	EDV32010	Drosophila virilis	EDW57535	0.0392814037648434	1.86533160659467	-9.31800368726126	0.0210586705473539
Drosophila ananassae	EDV32010	Drosophila willistoni	EDW78040	0.0378525413028243	1.96636450028508	-8.66297293755456	0.0192500125471837
Drosophila ananassae	EDV32010	Drosophila yakuba	XP_002088638	0.0229714428961537	0.727169314530514	-15.1354243624693	0.0315902258760531
Drosophila ananassae	EDV32010	Drosophila simulans	XP_002079380	0.0204874798373549	0.665663917017616	-15.1151121703214	0.0307775129665211
Drosophila ananassae	EDV32010	Drosophila pseudoobscura	EAL33308	0.0315908451760171	0.787444746867539	-14.9425351044589	0.0401181737533785
Drosophila erecta	EDV58640	Drosophila grimshawi	EDW03208	0.0297191171399014	0.853804002919163	-14.9351870288012	0.0348078915515639
Drosophila erecta	EDV58640	Drosophila mojavensis	EDW13487	0.0172138703836518	1.03842655136431	-14.6384581962742	0.0165768781249244
Drosophila erecta	EDV58640	Drosophila virilis	EDW57535	0.0155382414573548	1.00633954608492	-14.7954355280918	0.0154403566050891
Drosophila erecta	EDV58640	Drosophila willistoni	EDW78040	0.0179478313074561	1.72266904688212	-10.4098360404205	0.0104186183294697
Drosophila erecta	EDV58640	Drosophila yakuba	XP_002088638	0.00162513606381774	0.0816021448865993	-7.57417280819131	0.0199153596523247
Drosophila erecta	EDV58640	Drosophila simulans	XP_002079380	0.00816556786592493	0.185917325549656	-10.4566457961658	0.0439204245316234
Drosophila erecta	EDV58640	Drosophila pseudoobscura	EAL33308	0.0188818290938948	0.573826028998047	-14.8657506375257	0.0329051457056841
Drosophila grimshawi	EDW03208	Drosophila mojavensis	EDW13487	0.0196437364527842	0.863583471002421	-15.1330956746865	0.0227467721562368
Drosophila grimshawi	EDW03208	Drosophila virilis	EDW57535	0.0138440412786391	0.753791218268399	-15.3771144780523	0.0183658829436107
Drosophila grimshawi	EDW03208	Drosophila willistoni	EDW78040	0.0328549656683805	1.68614326569618	-10.5637519015612	0.0194852752650382
Drosophila grimshawi	EDW03208	Drosophila yakuba	XP_002088638	0.0305532821011194	0.897037908502667	-14.8446574200637	0.0340601905577422
Drosophila grimshawi	EDW03208	Drosophila simulans	XP_002079380	0.0364964884169151	0.852426888043805	-14.7922071222348	0.0428148019833926
Drosophila grimshawi	EDW03208	Drosophila pseudoobscura	EAL33308	0.0432492313873568	1.04760175403873	-14.1822724109532	0.0412840387300058
Drosophila mojavensis	EDW13487	Drosophila virilis	EDW57535	0.00812245653676424	0.727704868194383	-15.5226259506012	0.0111617454984437
Drosophila mojavensis	EDW13487	Drosophila willistoni	EDW78040	0.0237044659223715	1.99165683255997	-8.56312283576086	0.0119018826611324
